#,Company / Institution,Segment,City,HQ address,Website,Email,Phone,Leadership,Partnership / referral angle,Notes & source
1,Canara Bank,PSU bank,Bengaluru,"Head Office, No. 112, J C Road, Bengaluru 560002",https://canarabank.bank.in,hocss1@canarabank.com,1800 1030,"Brajesh Kumar Singh (MD & CEO, w.e.f. Jun 2026)",Branch-level MF/insurance/wealth referral; Canara Robeco ecosystem,Verified canarabank.bank.in contact page
2,Ujjivan Small Finance Bank Ltd,Small Finance Bank,Bengaluru,"Grape Garden, No. 27, 3rd A Cross, 18th Main, 6th Block, Koramangala, Bengaluru 560095",https://www.ujjivansfb.in,customercare@ujjivan.com,1800 208 2121,"Carol Furtado (Interim CEO w.e.f. 01-Sep-2026; permanent MD&CEO pending RBI nod)",Liability + investment cross-referral,Listed. Verified ujjivansfb.bank.in
3,Jana Small Finance Bank Ltd,Small Finance Bank,Bengaluru,"The Fairway Business Park, 1st Floor, Off Domlur, Koramangala Inner Ring Road, Challaghatta, Bengaluru 560071",https://www.jana.bank.in,customercare@jana.bank.in,1800 2080,Ajay Kanwal (MD & CEO),HNI/affluent referral partnership,Listed. Verified jana.bank.in contact page
4,The Karnataka State Co-operative Apex Bank Ltd,Apex State Co-op Bank,Bengaluru,"'Uthunga', No. 1, Pampa Mahakavi Road, Chamarajpet, Bengaluru 560018",https://karnatakaapex.com,mis@karnatakaapex.com,080-26983700,"Belli Prakash (President); A. C. Diwakara (MD, w.e.f. Jun 2026)",State-wide co-op referral network,Verified karnatakaapex.bank.in
5,The Bangalore City Co-operative Bank Ltd,Urban Co-op Bank,Bengaluru,"#3, 1st Floor, Pampa Mahakavi Road, Chamarajpet, Bengaluru 560018",https://tbccbl.bank.in,not published (contact form),080-26672751; helpline 080-26617980,Board/CEO - verify,Urban depositor base referral,Est. 1907. Verified tbccbl.bank.in
6,The Grain Merchants' Co-operative Bank Ltd,Urban Co-op Bank,Bengaluru,"No. 2, Pampa Mahakavi Road, Chamarajpet, Bengaluru 560018",http://gmcbank.net,gmcbho@yahoo.co.in,080-26677552,Board/CEO - verify,Trader/SME depositor referral,Verified gmcbank.net
7,Janatha Seva Co-operative Bank Ltd,Urban Co-op Bank,Bengaluru,"No. 24, 'Suvarna Bhavan', 1st Main Road, Hampinagar, Vijayanagar, Bengaluru 560104",https://jscbl.bank.in,jscbinfo@jscbl.bank.in,080-23300497,Board/CEO - verify,Local retail referral,RBI licence UBD/KAN/1302P. Verified jscbl.bank.in
8,Sree Subramanyeswara Co-operative Bank Ltd,Urban Co-op Bank,Bengaluru,"No. 106, Rajatha Bhavana, R.V. Road, V.V. Puram, Bengaluru 560004",https://www.subcobank.com,dgm@subcobank.com,080-26622462,Board/CEO - verify,Urban retail referral,Verified subcobank.com
9,The Bengaluru District Central Co-operative Bank Ltd (BDCC),District Central Co-op Bank,Bengaluru,"'Lakshmisadana', No. 6, 5th Main Road, Chamarajpet, Bengaluru 560018",https://bengalurudcc.bank.in,not published (form + NIVARAN portal),1800 532 7444,Board/President - verify,Rural/agri + urban co-op referral,Est. 1955. Verified bengalurudcc.bank.in
10,Amanath Co-operative Bank Ltd,Urban Co-op Bank,Bengaluru,"No. 43, Amanath House, Shivajinagar, Bengaluru 560001",https://www.amanath-bank.com,ceo@amanath-bank.com,080-22957711,Board/CEO - verify,LOW PRIORITY - under RBI Sec 35A directions (extended to 12-Sep-2026),FLAG: RBI directions. Verified amanath-bank.com
